Game,Composition,SHA-1 Hash
After_Burst_%28Nintendo_Game_Boy%29,01 Title.csv,bf0c1ef70ab120b0e3c7db46ee15b78f3c08ac19
After_Burst_%28Nintendo_Game_Boy%29,02 Stage Start.csv,76f9ac7e8904798bae35ef910289338ad895d814
After_Burst_%28Nintendo_Game_Boy%29,03 Stage BGM 1.csv,802dffeae975be25040fccd10d1bb0384e87be01
After_Burst_%28Nintendo_Game_Boy%29,04 Stage Clear.csv,bab925a19ab1b18f2071f06f9d906bc14820a0b0
After_Burst_%28Nintendo_Game_Boy%29,05 Stage BGM 2.csv,ff27cd433c5a65cb929f9580215ae6ad587d28ac
After_Burst_%28Nintendo_Game_Boy%29,06 Continue.csv,611c3fb5e8925000c42b7783bd370130b7f55496
After_Burst_%28Nintendo_Game_Boy%29,07 Game Over.csv,3b6c6d39063af1e1b5870aa95acf68c5e3979df1
After_Burst_%28Nintendo_Game_Boy%29,08 Stage BGM 3.csv,bfb2ef8c78d32b4623ff2a9c9e0a741c21aa491c
After_Burst_%28Nintendo_Game_Boy%29,09 Boss Stage.csv,b003ec5700400f3bf73814298d78a5e4f24be0f0
After_Burst_%28Nintendo_Game_Boy%29,10 All Clear.csv,55361454e697e67f964dea40882ed49a5e9016ee
After_Burst_%28Nintendo_Game_Boy%29,11 VS BGM.csv,56a51515a9c0ef7decf131414ef68a53c8c70224
After_Burst_%28Nintendo_Game_Boy%29,12 VS Win.csv,dd04156b0e76af9e6b0f906240ff62436cd1ee1b
After_Burst_%28Nintendo_Game_Boy%29,13 VS Lost.csv,0b019c2aec29e9eb7c0e8d9446f3701691a07c64
Alfred_Chicken_%28Nintendo_Game_Boy%29,01 Title Screen.csv,a90127a517e498df675544428c93a81eb40c5da7
Alfred_Chicken_%28Nintendo_Game_Boy%29,02 Stage Intro.csv,6caf85900a4852aed3c441c16a703d857e357825
Alfred_Chicken_%28Nintendo_Game_Boy%29,03 Stage Theme 1.csv,ed0daee40753ca4e9eae888334a678daed9b1e44
Alfred_Chicken_%28Nintendo_Game_Boy%29,04 Stage Theme 2.csv,d6e0b134c9776adeb1f28802f7fe66cbe61bd756
Alfred_Chicken_%28Nintendo_Game_Boy%29,05 Radio.csv,f21c135a57f95c677a52f13c0100d2fa26a68243
Alfred_Chicken_%28Nintendo_Game_Boy%29,06 Bonus Round.csv,0eee4b15f58b716b90f312f055e459de1bc5f7a8
Alfred_Chicken_%28Nintendo_Game_Boy%29,07 Boss Battle.csv,38b679b41613f0c30772d01c9d18fbcfc1a526fe
Alfred_Chicken_%28Nintendo_Game_Boy%29,08 Staff Roll.csv,6e5112fe70c0bcd254d7bdbe73682c2c01e5f3ae
Alfred_Chicken_%28Nintendo_Game_Boy%29,09 Game Over.csv,5623ae1ace30d7b5fcf48438c305b85cc6f9e7f1
Amazing_Penguin_%28Game_Boy%29,01 Opening.csv,2fdb93be87e1209d063f8b2ee89fa06fc2dc3ff4
Amazing_Penguin_%28Game_Boy%29,"02 Stage 1~4, 17~20, 33~36.csv",27bb23510876933dc8f568efda5167187dd706cd
Amazing_Penguin_%28Game_Boy%29,03 Stage Clear.csv,0273c518f3a866c7e58e8df076e5916a3d12a593
Amazing_Penguin_%28Game_Boy%29,04 Password Appearance.csv,0ded2be6a947f8d061bbf05de20ea39f8126ca4a
Amazing_Penguin_%28Game_Boy%29,"05 Stage 5~8, 21~24.csv",fd66c137b9db53ff5da46d5de08409cf230a237b
Amazing_Penguin_%28Game_Boy%29,"06 Stage 9~12, 25~28.csv",49b553ac32a026af19ca4b37da11003bf8b1516a
Amazing_Penguin_%28Game_Boy%29,"07 Stage 13~16, 29~32.csv",e9e5caf6485798ba055bc92963bc323400bbec04
Amazing_Penguin_%28Game_Boy%29,08 Stage 37~40.csv,1d747e8c8449921d869f9cb3ddf3b287dfe2a899
Amazing_Penguin_%28Game_Boy%29,09 Ending.csv,fd8fe1adb41eb1f906873e27b42e32d519aa9730
Amazing_Penguin_%28Game_Boy%29,10 Miss.csv,0bc9a7f6dd7cabfa5faf5376f3213a31fa85f39d
Amazing_Penguin_%28Game_Boy%29,11 Game Over.csv,6c4a237b57d933834d13995b87de31b671eaf508
Asterix_%28Nintendo_Game_Boy%29,01 Title Screen.csv,3e98191e28c8f83047112d9239a392dc27470fdb
Asterix_%28Nintendo_Game_Boy%29,02 Level Start.csv,34689bccb03bd765b1bc44a6c109d204bce6b93c
Asterix_%28Nintendo_Game_Boy%29,03 Gaul.csv,0eea25dd7e21360d0fee97e94ca156109365e118
Asterix_%28Nintendo_Game_Boy%29,04 Helvetia.csv,da59e0179330d01717c5a8cbaa5c329aeffad843
Asterix_%28Nintendo_Game_Boy%29,05 Egypt.csv,0a531f5a3f98316234890069e0e5dd72b3f6259b
Asterix_%28Nintendo_Game_Boy%29,06 Rome.csv,c851bda67d695c0f80afa42da59c7f2d9e46481d
Asterix_%28Nintendo_Game_Boy%29,07 Quickly!.csv,b950178a8c94ff0dfadb38a93e097c3612ae7b0b
Asterix_%28Nintendo_Game_Boy%29,08 Secret Level.csv,b23408609f5bd14f7154713efaa2c0d37b86371b
Asterix_%28Nintendo_Game_Boy%29,09 Magic Potion.csv,d22b05ce9d8cec77eba552bf304e6988e4e74ef2
Asterix_%28Nintendo_Game_Boy%29,10 Bonus Level.csv,5b47f5a041782f1921764053faa2da51412b1663
Asterix_%28Nintendo_Game_Boy%29,11 Life Lost.csv,b39086063908beb88f6bf19d820ce7bcc9d32553
Asterix_%28Nintendo_Game_Boy%29,12 Game Over.csv,1d1188fd0def45745fc3213b9d9af1fc04819a81
Asterix_%28Nintendo_Game_Boy%29,13 Ending ~ Staff Roll.csv,c531f3bc1f9567b662875dd43e6bdf0e8886c2f6
Batman_-_Return_of_the_Joker_%28Nintendo_Game_Boy%29,01 Title.csv,fcdfd1cd7a405ff44615525b09b01b7489660c9a
Batman_-_Return_of_the_Joker_%28Nintendo_Game_Boy%29,02 Stage Select.csv,37d9b04bf0f994cd94ade883a3adb38ea95570c1
Batman_-_Return_of_the_Joker_%28Nintendo_Game_Boy%29,03 The Sewers (Stage 1).csv,e6e4e6feba85ed6e49f068291f142c45961ef983
Batman_-_Return_of_the_Joker_%28Nintendo_Game_Boy%29,04 Machine Shop (Stage 2).csv,884c727443ab30d83630b9bafbd47bcaf5e415e7
Batman_-_Return_of_the_Joker_%28Nintendo_Game_Boy%29,05 The Train (Stage 3).csv,f925eb2f91719d8f3a74487e436d2e2277851434
Batman_-_Return_of_the_Joker_%28Nintendo_Game_Boy%29,06 Boss.csv,69645c0de5a1773b77145cbda05fe96057c66564
Batman_-_Return_of_the_Joker_%28Nintendo_Game_Boy%29,07 Stage Clear.csv,76ab9055c48f7e1d0cc0cdf9ed6022f5d380360b
Batman_-_Return_of_the_Joker_%28Nintendo_Game_Boy%29,08 Limestone Caverns (Stage 4).csv,c22b1ab35949939b6651a66080438d1b5d5ae2d6
Batman_-_Return_of_the_Joker_%28Nintendo_Game_Boy%29,09 The Joker.csv,d46b2262d302eab3ed0d3ea64e3d791b31ac0b42
Batman_-_Return_of_the_Joker_%28Nintendo_Game_Boy%29,10 Ending.csv,d045c90a5cfc7cadefccba87904f6aa3d1214f97
Batman_-_Return_of_the_Joker_%28Nintendo_Game_Boy%29,11 Game Over.csv,cb94f49b6dfe454d3e38224e1e184e45f2d578b2
Batman_-_Return_of_the_Joker_%28Nintendo_Game_Boy%29,12 Continue.csv,92b1d3c1db536da50c48cfc36d0ead5bc3d9973f
Batman_-_The_Video_Game_%28Nintendo_Game_Boy%29,01 Title.csv,b4eed3781a1f9482954a8eac9d7e7f0ebfe36f4c
Batman_-_The_Video_Game_%28Nintendo_Game_Boy%29,02 Cutscene.csv,edf0b9ea585bd6e52828a56a7c549b488b72783e
Batman_-_The_Video_Game_%28Nintendo_Game_Boy%29,03 Gotham City.csv,c5dd014ab24d7ece798902c30ad9eb96f03ca298
Batman_-_The_Video_Game_%28Nintendo_Game_Boy%29,04 Stage Clear.csv,211a3ad0480c73c6caf31136ac283aea8544e63a
Batman_-_The_Video_Game_%28Nintendo_Game_Boy%29,05 Chemical Factory.csv,b4a7abdba959088aba45e408371626c8b31178da
